Date,Open,High,Low,Close,Volume,SMA 10,EMA 10,Upper band,Lower band,SMA 50,SMA 100,SMA 20,SMA 200,EMA 20,EMA 50,EMA 100,EMA 200,MACD,MACD Signal Line,MACD Histogram,Stochastic %K,Stochastic %D,Williams %R,CCI,Aroon Up,Aroon Down,SMA 5,EMA 5,SMA 5 Crossover Signal,Bollinger Signal,Stochastic,Stochastic Signal,Williams %R Signal,CCI Signal,Aroon Signal,MACD Signal,RSI,RSI Signal,White Marubozu,Black Marubozu,Bullish Engulfing,Bearish Engulfing,Bullish Harami,Bearish Harami,Tweezer Bottom,Tweezer Top,Piercing Line,Dark Cloud Cover,Morning Star,Evening Star,Three White Soldiers,Three Black Crows,Three Inside Up,Three Inside Down,Three Outside Up,Three Outside Down,Upside Tasuki Gap,Downside Tasuki Gap,Crossover SMA 5/20,Crossover SMA 20/100,Crossover SMA 10/50,Crossover SMA 50/200,Crossover SMA 5/20 Signal,Crossover SMA 10/50 Signal,Crossover SMA 20/100 Signal,Crossover SMA 50/200 Signal
1997-09-04,7.52019,7.52019,7.41786,7.45359,613014.8,7.343872999999999,7.397652347635448,7.697173102076261,7.05922289792374,,,7.378198,,7.342976357612563,,,,0.0733226660325065,0.0540836764909418,0.0192389895415647,61.20559777695942,79.93867238118555,-35.12374774556309,1.972204053342526,28.0,4.0,7.446426000000001,7.45568622698581,0,0,0,0,-1,0,0,0,52.88589675501513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-05,7.41786,7.55165,7.41786,7.48466,527781.27,7.363474999999999,7.413471920792639,7.700601956610172,7.0557940433898265,,,7.378197999999999,,7.356470037839938,,,,0.075745675661687,0.0588976153632561,0.0168480602984308,66.40664233821016,73.87704085618311,-33.59335766178984,2.293502460188608,24.0,0.0,7.466018,7.465344151323874,0,0,0,0,0,0,0,0,53.571710528133806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-08,7.45359,7.45359,7.3867,7.45359,209169.31,7.400038,7.420766117012159,7.658667656846209,7.071437343153791,,,7.3650525,,7.365719558045658,,,,0.0739246317173636,0.0622370393477834,0.0116875923695801,61.20559777695942,62.939279297376345,-38.79440222304058,1.363378062197904,20.0,0.0,7.499008000000001,7.461426100882583,1,0,0,0,0,0,0,0,52.74487294786576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-09,7.35553,7.41786,7.35553,7.3867,401969.86,7.423232,7.414572277555402,7.656888482012286,7.073216517987714,,,7.3650525,,7.367717695374643,,,,0.0657332420399203,0.0630139890257486,0.0027192530141717,43.71442572279401,57.10888861265454,-49.99163011818268,0.4231463843163561,16.0,0.0,7.48563,7.436517400588389,0,0,0,0,0,0,0,0,50.92265484274981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-10,7.35553,7.45359,7.35553,7.3867,391742.99,7.442844000000001,7.409504590727147,7.64811081313616,7.07219818686384,,,7.3601545,,7.369525533910391,,,,0.058588122717281,0.0620304476757006,-0.0034423249584195,24.71893118225365,43.21298489400237,-49.99163011818268,0.7758638642578536,12.0,0.0,7.433047999999999,7.419911600392259,0,0,0,0,0,0,0,-1,50.92265484274981,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-11,7.28864,7.3867,7.28864,7.35553,395465.41,7.429931000000001,7.399691028776756,7.61771384034519,7.079857159654812,,,7.348785500000001,,7.368192625918925,,,,0.0496080267948348,0.0592698758569093,-0.0096618490620744,16.861608268212727,28.43165505775347,-55.20941444306807,-0.1907276295377398,8.0,0.0,7.413436,7.398451066928173,0,0,0,0,0,0,0,0,49.98930981002367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-12,7.35553,7.41786,7.35553,7.3867,357241.08,7.429930999999999,7.397329023544618,7.621448109891763,7.082811890108236,,,7.35213,,7.369955232974266,,,,0.0448010632506123,0.0560545535061428,-0.0112534902555304,24.71893118225365,22.099823544240014,-49.99163011818268,0.7269864218214424,4.0,24.0,7.393844,7.394534044618782,0,0,0,0,0,0,0,0,50.95734214691251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-15,7.31981,7.41786,7.31981,7.3867,319098.12,7.439736999999999,7.395396473809232,7.610989942001402,7.123144057998599,,,7.367067,,7.371549972691002,,,,0.0405279222961301,0.0526041654245812,-0.0120762431284511,24.71893118225365,22.099823544240014,-56.28557427720599,0.1639034554516597,0.0,20.0,7.380466,7.3919226964125215,-1,0,0,0,0,0,0,0,50.95734214691253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-16,7.31981,7.35553,7.25291,7.25291,354486.86,7.419669000000001,7.369489842207553,7.600065852077185,7.114000147922814,,,7.357032999999999,,7.360250927672812,,,,0.0249355973782012,0.0464555592791634,-0.0215199619009621,0.0,16.479287454835774,-100.0,-1.6206699377750682,64.0,16.0,7.353708,7.345585130941681,1,0,0,0,0,0,0,0,46.47878611499587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
1997-09-17,7.22165,7.22165,7.15476,7.19058,383335.1,7.373765999999999,7.336960779987997,7.596802846459265,7.0945351535407335,,,7.345668999999999,,7.344091791703973,,,,0.0071270889505923,0.0377158599942836,-0.0305887710436913,9.025170702209708,11.248033961487792,-93.24889743299782,-3.541554923453764,60.0,12.0,7.314484,7.29391675396112,0,0,0,0,0,0,0,0,44.51585906594621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
